gene,original_gene_id,ensembl_id,pathway,effect_size,raw_p_value,adjusted_p_value,gene_signal,direction,dataset_name,comparison,cell_type,evidence_tier_of_parent_pathway,parent_pathway_overlap_count
PMAIP1,ENSG00000141682.12,ENSG00000141682,apoptosis,-0.052,0.131569670356091,0.997120482783777,6.512284499204287e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
BAD,ENSG00000002330.14,ENSG00000002330,apoptosis,0.05,0.423498815366846,0.997120482783777,6.261812018465661e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
BID,ENSG00000015475.19,ENSG00000015475,apoptosis,-0.033,0.690864620681754,0.997120482783777,4.1327959321873356e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
BBC3,ENSG00000105327.18,ENSG00000105327,apoptosis,-0.032,0.44095381752479,0.997120482783777,4.007559691818023e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
CASP7,ENSG00000165806.21,ENSG00000165806,apoptosis,0.025,0.556035539374555,0.997120482783777,3.1309060092328304e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
FASLG,ENSG00000117560.8,ENSG00000117560,apoptosis,-0.013,0.625159730445644,0.997120482783777,1.6280711248010717e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
BAX,ENSG00000087088.21,ENSG00000087088,apoptosis,-0.006,0.919426785432838,0.997120482783777,7.514174422158792e-06,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
BCL2,ENSG00000171791.14,ENSG00000171791,apoptosis,0.001,0.988466764156914,0.998279090702612,7.480252382724322e-07,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
BCL2,BCL2,,apoptosis,0.325249266253725,0.00114678437713113,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk,gene-level signal only,1
ATM,ATM,,cell_cycle_checkpoint,0.792716107620199,1.98130034056067e-60,6.06297717214971e-56,7.9271610762019895,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,gene-level signal only,2
ATM,ATM,,cell_cycle_checkpoint,0.683371457532247,1.51373356542649e-38,4.63217608356161e-34,6.83371457532247,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,gene-level signal only,2
ATM,ATM,,cell_cycle_checkpoint,0.6381929845689,1.0231408757707e-85,3.13091339394592e-81,6.381929845688999,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell,gene-level signal only,1
ATM,ATM,,cell_cycle_checkpoint,0.505733275689833,1.10361465849782e-136,3.37717121646917e-132,5.0573327568983295,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell,gene-level signal only,1
RB1,RB1,,cell_cycle_checkpoint,0.500920963373102,8.62814296212391e-39,2.64029802783954e-34,5.00920963373102,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,gene-level signal only,2
ATR,ATR,,cell_cycle_checkpoint,0.419501773948361,4.45507799335986e-15,1.36329841674805e-10,4.138556605445287,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,gene-level signal only,2
ATM,ATM,,cell_cycle_checkpoint,0.392825970032616,9.84682374059198e-36,3.01322653285855e-31,3.92825970032616,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,gene-level signal only,2
RB1,RB1,,cell_cycle_checkpoint,0.36562836581967,4.46965682895291e-199,1.36775968622788e-194,3.6562836581967,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk,gene-level signal only,2
ATM,ATM,,cell_cycle_checkpoint,0.345612009199848,2.12654226235083e-120,6.50743197701977e-116,3.4561200919984802,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk,gene-level signal only,2
RB1,RB1,,cell_cycle_checkpoint,0.323828610529616,5.72798512332331e-32,1.75282072758817e-27,3.23828610529616,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD14+ Monocyte,gene-level signal only,1
ATR,ATR,,cell_cycle_checkpoint,0.423728977831044,4.61852412097027e-12,1.41331456625811e-07,2.902442296825451,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,gene-level signal only,2
RB1,RB1,,cell_cycle_checkpoint,0.513938035558891,6.42550192080076e-10,1.96626784278424e-05,2.4187760374112472,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,limited pathway-level signal,3
ATR,ATR,,cell_cycle_checkpoint,0.269016602686105,3.60876646718576e-09,0.000110431862662352,1.0644733023327975,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,gene-level signal only,2
ATM,ATM,,cell_cycle_checkpoint,0.447717450468995,5.98226642019811e-07,0.0183063334724482,0.7778636853818024,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,limited pathway-level signal,3
ATM,ATM,,cell_cycle_checkpoint,0.514432819027536,4.96485093363113e-06,0.151929403420046,0.4209902990801619,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,gene-level signal only,2
GADD45B,ENSG00000099860.9,ENSG00000099860,cell_cycle_checkpoint,-0.128,0.0403417659664221,0.997120482783777,0.0001603023876727209,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
CCNG1,ENSG00000113328.19,ENSG00000113328,cell_cycle_checkpoint,0.124,0.0767649991039567,0.997120482783777,0.00015529293805794837,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
ATM,ENSG00000149311.20,ENSG00000149311,cell_cycle_checkpoint,-0.044,0.382917244321264,0.997120482783777,5.510394576249781e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
ATR,ENSG00000175054.16,ENSG00000175054,cell_cycle_checkpoint,-0.034,0.303436025348256,0.997120482783777,4.258032172556649e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
RB1,ENSG00000139687.16,ENSG00000139687,cell_cycle_checkpoint,-0.033,0.523322739917154,0.997120482783777,4.1327959321873356e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
WEE1,ENSG00000166483.12,ENSG00000166483,cell_cycle_checkpoint,0.027,0.388645093770111,0.997120482783777,3.381378489971456e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
CDKN1A,ENSG00000124762.14,ENSG00000124762,cell_cycle_checkpoint,0.015,0.8001502225626,0.997120482783777,1.8785436055396978e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
GADD45A,ENSG00000116717.13,ENSG00000116717,cell_cycle_checkpoint,-0.013,0.718436785013413,0.997120482783777,1.6280711248010717e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
CHEK2,ENSG00000183765.23,ENSG00000183765,cell_cycle_checkpoint,-0.007,0.742787476034612,0.997120482783777,8.766536825851924e-06,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
E2F1,ENSG00000101412.13,ENSG00000101412,cell_cycle_checkpoint,-0.004,0.824046821763428,0.997120482783777,5.009449614772528e-06,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
CHEK1,ENSG00000149554.14,ENSG00000149554,cell_cycle_checkpoint,0.002,0.825875914732546,0.997120482783777,2.504724807386264e-06,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
CDC25A,ENSG00000164045.12,ENSG00000164045,cell_cycle_checkpoint,0.002,0.853510163438628,0.997120482783777,2.504724807386264e-06,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
CDC25C,ENSG00000158402.21,ENSG00000158402,cell_cycle_checkpoint,0.0,,,0.0,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,13
ATR,ATR,,cell_cycle_checkpoint,0.302717368231114,0.000121556738781983,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,limited pathway-level signal,3
ATM,ATM,,cell_cycle_checkpoint,0.428746621201244,0.00176782534700219,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,limited pathway-level signal,3
ATR,ATR,,cell_cycle_checkpoint,0.327105817849536,0.00401742452723977,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,limited pathway-level signal,3
RB1,RB1,,cell_cycle_checkpoint,0.25343677611557,0.0112335261594041,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,limited pathway-level signal,3
SOD2,SOD2,,oxidative_stress,0.376286556983365,5.01974021470006e-15,1.53609070310036e-10,3.692719411165522,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,gene-level signal only,1
SOD1,SOD1,,oxidative_stress,-0.455083026830571,1.05918544507279e-11,3.24121338046725e-07,2.9531668168657728,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,limited pathway-level signal,4
TXN,TXN,,oxidative_stress,-0.571782695638896,1.2786314265881e-08,0.000391274002850224,1.9483604030749233,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,limited pathway-level signal,3
