original_gene_id	gene	gene_symbol_mapped	effect_size	adjusted_p_value	raw_p_value	cell_type	comparison	dataset_name	timepoint	ensembl_id	source_file
H3F3A	H3F3A	H3F3A	-0.754543186696921	4.55278872630905e-49	1.48779083242674e-53	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
PRR5L	PRR5L	PRR5L	0.453319099695295	7.46268524171046e-49	2.43870633041746e-53	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
C11orf65	C11orf65	C11orf65	0.426010685930275	1.43348386881563e-48	4.68443472048506e-53	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
GZMA	GZMA	GZMA	-0.815234189809124	1.94312500181204e-48	6.34987419303957e-53	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
KANSL1L	KANSL1L	KANSL1L	0.393022758670966	5.35731142341716e-48	1.75069815477179e-52	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL31	RPL31	RPL31	-0.703198200592539	1.64621172261404e-47	5.37960106733127e-52	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL14	RPL14	RPL14	-0.718555499354269	2.17292498574936e-47	7.10082999166484e-52	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
MYL6	MYL6	MYL6	-0.739084749508283	2.92260270470567e-47	9.55067711743299e-52	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL7	RPL7	RPL7	-0.707901978774238	7.12827755361763e-47	2.32942634345859e-51	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
PARP8	PARP8	PARP8	0.702279902490236	2.75644375953844e-46	9.00769177327028e-51	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL35	RPL35	RPL35	-0.697328051589686	1.69492665180137e-45	5.5387949799071e-50	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL10A	RPL10A	RPL10A	-0.708929135234221	2.6003714307875e-45	8.49766815067318e-50	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL27	RPL27	RPL27	-0.690616119020118	4.04328110638743e-44	1.32129051546924e-48	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
DENND2D	DENND2D	DENND2D	0.361869702988816	8.20337242718896e-44	2.68075305617103e-48	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL38	RPL38	RPL38	-0.678240035800711	1.24483774480245e-43	4.06796426522808e-48	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
ST8SIA4	ST8SIA4	ST8SIA4	0.527670390571311	6.97636209819494e-43	2.27978239214239e-47	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
MYL12A	MYL12A	MYL12A	-0.695547000748642	9.9431967795503e-43	3.24930452584893e-47	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
UBC	UBC	UBC	-0.669698571928525	9.97984309614734e-43	3.26128005494831e-47	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
